Date,Confirmation Code,Start Date,Nights,Listing,Gross Earnings
8/27/19,HMAR2DZ3WD,8/26/19,11,N,813.4
8/27/19,HMAQRF2FDH,8/26/19,4,P,496
8/23/19,HMANBPFK5C,7/21/19,33,P,49.32
8/23/19,HMANBPFK5C,7/21/19,33,P,197.27
8/21/19,HMAEWC833Z,8/20/19,4,N,1676
8/21/19,HMAEWC833Z,8/20/19,4,N,419
8/19/19,HMAH9BWPWX,8/18/19,7,L,675.05
8/18/19,HMZAM8FHFD,8/17/19,10,Q,2058.68
8/18/19,HMZAM8FHFD,8/17/19,10,Q,514.67
8/13/19,HMANCRT9JW,8/12/19,3,L,290
8/13/19,HMANCRT9JW,8/12/19,3,L,1160
8/11/19,HMAQDH3ATX,8/10/19,5,N,439
8/11/19,HMAQDH3ATX,8/10/19,5,N,1756
8/10/19,HMAAYNFWYH,8/9/19,13,G,1457.56
8/10/19,HMAAYNFWYH,8/9/19,13,G,5830.24
8/5/19,HMADMWAH4J,8/4/19,5,F,1314.3
8/5/19,HMADMWAH4J,8/4/19,5,F,370.7
8/4/19,HMAJPA9JHT,8/3/19,7,N,443.6
8/4/19,HMAJPA9JHT,8/3/19,7,N,1774.4
6/19/19,HMADTHNTRS,6/18/19,6,F,1451.58
6/19/19,HMADTHNTRS,6/18/19,6,F,409.42
6/18/19,HMAHB339JS,6/17/19,5,L,589
6/18/19,HMAHB339JS,6/17/19,5,L,2356
6/17/19,HMAKZ95TD4,6/16/19,5,H,107
6/17/19,HMAKZ95TD4,6/16/19,5,H,428
6/17/19,HMAKZ95TD4,6/16/19,5,H,25
6/17/19,HMAKZ95TD4,6/16/19,5,H,100
6/15/19,HMAEQP3YMX,6/14/19,3,F,865.8
6/15/19,HMAEQP3YMX,6/14/19,3,F,244.2
6/14/19,HMM552PTQT,6/13/19,4,Q,1240
6/14/19,HMM552PTQT,6/13/19,4,Q,310
6/14/19,HMADHQAAX4,6/13/19,3,L,410
6/14/19,HMADHQAAX4,6/13/19,3,L,1640
6/13/19,HMAH8TSM58,6/12/19,4,G,620
